,NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
0,1,전라남도 여수시 웅천동,1875-1,1875,1,포레나 여수 웅천 디 아일랜드,27.1918,202409,13,"9,900",12,개인,개인,2020.0,웅천남4로 17,-,중개거래,전남 여수시
1,2,경기도 성남시 분당구 야탑동,367-5,367,5,노블리치1오피스텔,32.56,202409,13,"16,500",5,개인,개인,2003.0,성남대로916번길 20,-,중개거래,경기 성남시 분당구
2,3,충청남도 천안시 서북구 두정동,1492,1492,0,로하스텔,35.24,202409,13,"4,800",4,개인,개인,2007.0,두정상가4길 32-7,-,중개거래,충남 천안시 서북구
3,4,서울특별시 금천구 가산동,535-7,535,7,G밸리 하우스디 어반,19.3737,202409,13,"15,200",9,개인,개인,2019.0,서부샛길 714,-,중개거래,서울 금천구
4,5,경상북도 김천시 율곡동,797,797,0,한신休시티,25.97,202409,13,"6,500",23,개인,개인,2016.0,혁신1로 81,-,중개거래,경북 김천시
5,6,광주광역시 서구 치평동,1203-1,1203,1,중흥에스-클래스스카이31,29.9437,202409,13,"7,800",20,개인,개인,2014.0,시청로 97,-,중개거래,광주 북구
6,7,강원특별자치도 춘천시 근화동,267-1,267,1,춘천 L-타워,20.193,202409,13,"7,000",17,법인,개인,2018.0,공지로 455,-,직거래,-
7,8,서울특별시 관악구 봉천동,969-51,969,51,리더스 오피스텔,17.6,202409,13,"12,500",2,개인,개인,2003.0,봉천로 265-1,-,중개거래,서울 관악구
8,9,충청남도 천안시 서북구 쌍용동,1592,1592,0,효명 리치빌,28.13,202409,13,"4,900",5,개인,개인,2004.0,월봉7길 49,-,중개거래,충남 천안시 서북구
9,10,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,26.82,202409,13,"19,400",4,개인,법인,2013.0,충민로 5,-,중개거래,서울 송파구
10,11,울산광역시 남구 신정동,1911,1911,0,신정 지웰,35.1339,202409,13,"10,300",3,개인,개인,2018.0, ,-,중개거래,울산 남구
11,12,서울특별시 마포구 상암동,1597,1597,0,사보이시티디엠씨,21.65,202409,13,"14,930",8,개인,개인,2016.0, ,-,중개거래,서울 마포구
12,13,서울특별시 강남구 수서동,713,713,0,수서현대벤쳐빌,25.45,202409,13,"18,550",5,법인,개인,2002.0,밤고개로1길 10,-,중개거래,서울 강남구
13,14,경상남도 창원시 진해구 용원동,1347-1,1347,1,다인로얄팰리스 부산 신항1차,47.7961,202409,12,"12,000",9,개인,개인,2020.0,신항2로 106,-,직거래,-
14,15,인천광역시 서구 가좌동,136,136,0,무한퍼스트지,66.3435,202409,12,"18,500",12,개인,개인,2019.0,염곡로 140,-,중개거래,인천 서구
15,16,경기도 양평군 양서면 양수리,551-12,551,12,(551-12),47.78,202409,12,"25,000",17,개인,개인,2021.0,양수로156번길 18,-,중개거래,서울 영등포구
16,17,경기도 하남시 망월동,1106,1106,0,힐스테이트 에코 미사,19.49,202409,12,"12,500",5,개인,개인,2018.0,미사강변동로 85,-,중개거래,경기 하남시
17,18,경기도 부천시 원미구 중동,1168-2,1168,2,베네피아오피스텔,41.85,202409,12,"13,000",7,개인,개인,2004.0,117,-,중개거래,경기 부천시 원미구
18,19,경기도 군포시 당동,Apr.54,54,4,(54-4),78.41,202409,12,"26,300",6,법인,개인,2018.0, ,-,중개거래,경기 군포시
19,20,서울특별시 마포구 성산동,590-4,590,4,KCC상암스튜디오380,20.35,202409,12,"14,950",10,개인,개인,2014.0, ,-,중개거래,서울 마포구
20,21,경기도 고양시 덕양구 도내동,951,951,0,힐사이드파크1차,22.73,202409,12,"10,800",18,개인,개인,2021.0,권율대로 508,-,중개거래,경기 고양시 덕양구
21,22,서울특별시 강서구 마곡동,760,760,0,마곡나루역보타닉푸르지오시티,22.2,202409,12,"20,500",11,개인,개인,2017.0, ,-,직거래,-
22,23,충청남도 천안시 서북구 차암동,435,435,0,천안비즈타워,15.68,202409,12,"4,350",9,개인,개인,2015.0,3공단6로 58-8,-,중개거래,충남 천안시 동남구
23,24,경기도 오산시 원동,335-10,335,10,르마레시티,46.86,202409,12,"20,900",8,법인,법인,2019.0,원동로 22,-,중개거래,"경기 오산시, 서울 서초구"
24,25,충청남도 천안시 서북구 차암동,435,435,0,천안비즈타워,15.68,202409,12,"4,350",9,개인,개인,2015.0,3공단6로 58-8,-,중개거래,충남 천안시 동남구
25,26,경기도 안양시 만안구 안양동,213-28,213,28,명학 아크로팰리스,20.66,202409,12,"10,000",8,개인,개인,2021.0,덕천로 87,-,중개거래,경기 안양시 만안구
26,27,광주광역시 서구 치평동,1203-1,1203,1,중흥에스-클래스스카이31,29.9437,202409,12,"7,800",16,개인,개인,2014.0,시청로 97,-,중개거래,광주 서구
27,28,서울특별시 금천구 가산동,233-5,233,5,가산센트럴 푸르지오시티,17.62,202409,12,"13,100",7,개인,개인,2020.0,디지털로10길 69,-,중개거래,서울 금천구
28,29,충청남도 천안시 서북구 차암동,435,435,0,천안비즈타워,15.68,202409,12,"4,300",9,개인,개인,2015.0,3공단6로 58-8,-,중개거래,충남 천안시 동남구
29,30,경기도 평택시 지산동,850-19,850,19,신화빌리지3차,84.84,202409,12,"17,600",6,개인,개인,2015.0,송탄2로65번길 6-4,-,중개거래,경기 평택시
30,31,경기도 화성시 반송동,Jul.93,93,7,트라이엄프 동탄,28.52,202409,12,"11,000",16,개인,개인,2011.0,메타폴리스로 47-11,-,직거래,-
31,32,서울특별시 강남구 자곡동,669,669,0,강남블루지움,20.8,202409,12,"17,500",6,개인,개인,2017.0, ,-,중개거래,서울 강남구
32,33,부산광역시 연제구 연산동,587-1,587,1,연산동웰메이드오피스텔,33.4694,202409,12,"12,900",10,개인,개인,2017.0,중앙대로1134번길 28,-,중개거래,부산 연제구
33,34,서울특별시 중구 남대문로5가,171,171,0,-171,37.94,202409,12,"23,500",7,개인,개인,1991.0,퇴계로 27,-,중개거래,서울 동대문구
34,35,경기도 고양시 일산동구 백석동,1329,1329,0,밀레니엄리젠시,149.56,202409,12,"44,000",2,개인,개인,2002.0,호수로 340-11,-,중개거래,경기 고양시 일산동구
35,36,부산광역시 수영구 수영동,445-3,445,3,수영 엔스타Ⅱ,29.57,202409,12,"7,200",16,개인,개인,2013.0,수영로725번길 53,-,중개거래,부산 수영구
36,37,서울특별시 금천구 가산동,233-5,233,5,가산센트럴 푸르지오시티,17.62,202409,12,"13,100",7,개인,개인,2020.0,디지털로10길 69,20240912,중개거래,서울 금천구
37,38,서울특별시 영등포구 당산동5가,9월 3일,9,3,당산역해링턴타워,23.92,202409,11,"21,500",12,개인,개인,2015.0, ,-,직거래,-
38,39,인천광역시 서구 청라동,156-1,156,1,청라센트럴에일린의뜰,45.4494,202409,11,"22,700",27,개인,개인,2018.0,청라커낼로 300,-,중개거래,인천 서구
39,40,서울특별시 강서구 마곡동,773,773,0,힐스테이트 에코 마곡역,19.967,202409,11,"17,500",6,개인,개인,2017.0,마곡중앙로 76,-,중개거래,서울 강서구
40,41,경기도 하남시 망월동,1100,1100,0,힐스테이트미사역그랑파사쥬(12-1BL),72.9365,202409,11,"62,300",28,개인,개인,2020.0,미사강변동로 95,-,중개거래,"경기 하남시, 서울 강동구"
41,42,부산광역시 사상구 괘법동,984,984,0,센트럴 스타힐스,45.5071,202409,11,"20,500",33,법인,개인,2022.0,사상로223번길 23,-,중개거래,부산 사상구
42,43,부산광역시 기장군 정관읍 매학리,717-9,717,9,골든스카이 오피스텔,27.0,202409,11,"4,000",10,개인,개인,2015.0,55,-,중개거래,부산 기장군
43,44,부산광역시 동구 초량동,593,593,0,부산역 삼정그린코아 더시티,29.2938,202409,11,"10,000",13,개인,개인,2021.0, ,-,직거래,-
44,45,대구광역시 중구 남산동,694-3,694,3,반월당 아너스 제네스타워 오피스텔,22.113,202409,11,"9,500",20,개인,개인,2019.0,중앙대로 312,-,직거래,-
45,46,제주특별자치도 제주시 도남동,81,81,0,도남그랑팰리스,118.37,202409,11,"50,000",4,개인,법인,2024.0,신성로10길 40,-,직거래,-
46,47,인천광역시 미추홀구 주안동,238-1,238,1,오피스텔 디에이 리베로,28.506,202409,11,"7,000",7,개인,개인,2003.0,89,-,중개거래,인천 미추홀구
47,48,경기도 시흥시 정왕동,1366-14,1366,14,파인힐 오피스텔,32.19,202409,11,"6,700",3,법인,개인,2003.0,마유로 226,-,직거래,-
48,49,인천광역시 부평구 부평동,135-8,135,8,청담아이리스,64.48,202409,11,"25,000",2,개인,개인,2015.0,부평문화로115번길 14-1,-,직거래,-
49,50,충청북도 청주시 서원구 사직동,12월 12일,12,12,(12-12),59.4,202409,11,"8,500",4,개인,개인,2011.0,사운로 65,-,직거래,-
50,51,충청북도 청주시 흥덕구 강서동,458,458,0,청주 강서 동광모닝스카이,20.47,202409,11,"4,700",8,개인,개인,2016.0,가로수로1164번길 41-33,-,중개거래,충북 청주시 흥덕구
51,52,서울특별시 강남구 역삼동,825-20,825,20,강남역 센트럴 푸르지오 시티,23.33,202409,11,"31,000",12,법인,개인,2015.0, ,-,중개거래,서울 강남구
52,53,서울특별시 서초구 양재동,275-3,275,3,트윈타워,24.07,202409,11,"13,500",6,개인,개인,1991.0,마방로10길 25,-,중개거래,서울 서초구
53,54,충청남도 천안시 서북구 두정동,1361,1361,0,새아스빌,31.2,202409,11,"3,317",5,개인,법인,2004.0,두정상가1길 5,-,중개거래,충남 천안시 서북구
54,55,서울특별시 영등포구 양평동2가,43-14,43,14,CO-OP Residence/오목교,26.38,202409,11,"11,900",7,법인,개인,2004.0,영등포로3길 23,-,중개거래,서울 영등포구
55,56,경기도 안산시 단원구 고잔동,528-4,528,4,고잔리슈빌S,22.7312,202409,11,"10,000",11,개인,개인,2020.0,당곡로 27,-,중개거래,경기 안산시 단원구
56,57,경기도 화성시 오산동,1088-2,1088,2,우성르보아시티,18.34,202409,11,"11,000",9,개인,개인,2018.0,동탄대로 557-9,-,중개거래,경기 화성시
