,NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
0,1,경기도 화성시 능동,1065-2,1065,2,동탄 퍼스트빌스타,전세,20.15,202409,13,"7,200",0,5,2014.0,동탄원천로 354-11,202409~202609,갱신,-,"8,500",0
1,2,경기도 화성시 능동,1064-1,1064,1,오디세이 더 테라스뷰,월세,16.18,202409,13,500,50,9,2017.0,동탄하나1길 47-2,202409~202509,신규,-,,
2,3,부산광역시 동래구 온천동,1441-47,1441,47,베스아이 윈,전세,20.21,202409,13,"6,500",0,6,2020.0,중앙대로1307번길 26-7,202410~202610,신규,-,,
3,4,경기도 화성시 능동,1065-1,1065,1,동탄 헤리움,월세,20.96,202409,13,"10,000",5,15,2017.0, ,202410~202610,신규,-,,
4,5,부산광역시 중구 대청동4가,Jun.35,35,6,재성 힐링파크,월세,29.9,202409,13,500,60,4,2022.0,중구로91번길 4,202409~202509,신규,-,,
5,6,부산광역시 동구 초량동,474-1,474,1,오피스텔 윤,월세,21.52,202409,13,200,50,3,2019.0,중앙대로209번길 10-11,202409~202509,신규,-,,
6,7,부산광역시 중구 대청동2가,9월 6일,9,6,대동레미안 더 휴,월세,27.5,202409,13,"2,000",48,11,2020.0,복병산길3번길 9,202410~202510,신규,-,,
7,8,경기도 파주시 야당동,1044-1,1044,1,운정유미어스3차 오피스텔,월세,19.47,202409,13,500,54,10,2018.0,경의로1004번길 21,202409~202509,신규,-,,
8,9,부산광역시 강서구 명지동,Mar.32,3432,3,부산명지 대방디엠시티 센텀오션2차,월세,22.19,202409,13,500,45,18,2021.0,명지국제6로 107,202409~202509,신규,-,,
9,10,부산광역시 사상구 괘법동,547-16,547,16,괘법동 그랑드-2,전세,24.07,202409,13,"9,000",0,11,2019.0,사상로 176,202410~202610,신규,-,,
10,11,부산광역시 강서구 명지동,Mar.32,3432,3,부산명지 대방디엠시티 센텀오션2차,전세,28.06,202409,13,"11,000",0,10,2021.0,명지국제6로 107,202410~202810,신규,-,,
11,12,서울특별시 강남구 역삼동,825-24,825,24,강남역 효성해링턴 타워 더퍼스트,월세,21.85,202409,13,"21,100",10,7,2014.0,강남대로84길 15,202410~202610,신규,-,,
12,13,서울특별시 강남구 역삼동,719-24,719,24,역삼역센트럴푸르지오시티,월세,17.57,202409,13,"19,125",10,7,2019.0,언주로85길 32,202410~202610,신규,-,,
13,14,부산광역시 동구 수정동,358-15,358,15,렉슬해밀턴,월세,21.85,202409,13,"1,000",38,8,2021.0, ,202409~202509,신규,-,,
14,15,경기도 화성시 석우동,7월 31일,31,7,(31-7),전세,21.38,202409,13,"9,400",0,14,2013.0,삼성1로 144-9,202409~202509,갱신,-,"9,400",0
15,16,서울특별시 송파구 방이동,2월 28일,28,2,엘루이시티,전세,17.45,202409,13,"18,000",0,5,2019.0, ,202410~202610,신규,-,,
16,17,서울특별시 은평구 진관동,100-3,100,3,아이파크 포레스트 게이트,월세,24.91,202409,13,"1,000",58,3,2013.0,통일로 1010,202408~202508,갱신,-,"1,000",55
17,18,부산광역시 동래구 온천동,190-26,190,26,엘타워,월세,26.04,202409,13,400,39,4,2018.0,차밭골로24번길 17,202409~202509,신규,-,,
18,19,서울특별시 강남구 세곡동,616,616,0,강남 드림하이 오피스텔,전세,34.6,202409,13,"30,000",0,8,2018.0, ,202409~202609,신규,-,,
19,20,서울특별시 동대문구 답십리동,487-2,487,2,knktower,월세,12.9,202409,13,"1,000",85,8,2024.0,전농로 33,202409~202609,신규,-,,
20,21,부산광역시 사상구 괘법동,547-16,547,16,괘법동 그랑드-2,월세,24.07,202409,13,"2,000",49,4,2019.0,사상로 176,202409~202509,신규,-,,
21,22,서울특별시 은평구 진관동,73,73,0,웅신 미켈란의 아침,월세,19.06,202409,13,"1,000",62,12,2017.0,진관2로 15-8,202409~202509,갱신,-,"1,000",60
22,23,제주특별자치도 제주시 이도이동,1169-2,1169,2,제이하임 레지던스,월세,35.98,202409,13,300,67,7,2018.0,동광로8길 3,202409~202509,신규,-,,
23,24,경기도 안산시 단원구 성곡동,850-3,850,3,중앙하이츠 마레,월세,20.12,202409,13,120,35,9,2023.0, ,202409~202509,신규,-,,
24,25,부산광역시 동구 범일동,1664,1664,0,두산위브더제니스 하버시티,월세,29.91,202409,13,"1,000",50,13,2023.0, ,202410~202510,신규,-,,
25,26,서울특별시 영등포구 영등포동1가,1월 27일,27,1,폴라리스오피스텔,월세,20.67,202409,13,"12,400",11,4,2003.0,경인로114길 18,202411~202611,갱신,-,"13,600",6
26,27,서울특별시 영등포구 영등포동2가,328-11,328,11,여의도 미르웰 한올림 2차 오피스텔,전세,14.53,202409,13,"13,800",0,2,2018.0,영등포로 247,202409~202609,갱신,-,"14,000",0
27,28,경기도 성남시 수정구 창곡동,560-1,560,1,남위례역 푸르지오 시티,월세,38.91,202409,13,"30,000",20,7,2018.0, ,202411~202611,신규,-,,
28,29,서울특별시 강서구 등촌동,828,828,0,(115-6),전세,13.92,202409,13,"15,000",0,5,2020.0,강서로74길 52,202410~202610,갱신,-,"15,000",0
29,30,경기도 안양시 동안구 호계동,923-5,923,5,(923-5),전세,35.88,202409,13,"15,000",0,5,1996.0,경수대로 701,202409~202609,갱신,-,"15,000",0
30,31,경기도 안양시 동안구 호계동,923-5,923,5,(923-5),전세,33.54,202409,13,"15,000",0,5,1996.0,경수대로 701,202409~202609,갱신,-,"15,000",0
31,32,경기도 안양시 동안구 관양동,1591-6,1591,6,평촌푸르지오센트럴파크,월세,88.16,202409,13,"3,000",210,32,2024.0,시민대로 252,202411~202611,신규,-,,
32,33,충청남도 아산시 배방읍 장재리,1719,1719,0,코아루웰메이드시티,전세,31.71,202409,13,"11,400",0,7,2020.0,희망로 32,202410~202610,신규,-,,
33,34,부산광역시 부산진구 양정동,158,158,0,유림메그레즈타워,월세,19.78,202409,13,"10,000",12,8,2023.0,동평로405번길 96,202410~202510,신규,-,,
34,35,경기도 하남시 망월동,1093-3,1093,3,더랜드시티,전세,20.76,202409,13,"11,000",0,4,2019.0,미사강변동로 121,202410~202509,갱신,-,"11,000",0
35,36,경기도 수원시 권선구 금곡동,1113-1,1113,1,수원 호매실 동광뷰웰,전세,27.82,202409,13,"12,800",0,7,2020.0,금곡로197번길 18-20,202410~202610,신규,-,,
36,37,부산광역시 부산진구 양정동,312-22,312,22,편안세상,전세,25.9,202409,13,"8,500",0,7,2017.0,거제천로 6-1,202410~202610,신규,-,,
37,38,세종특별자치시  어진동,656,656,0,푸르지오시티,월세,24.22,202409,13,"7,600",10,19,2014.0,갈매로 364,202410~202610,신규,-,,
38,39,경기도 하남시 망월동,1099,1099,0,하남미사 롯데캐슬 스타,전세,34.57,202409,13,"27,500",0,23,2019.0,미사강변중앙로 190,202410~202610,신규,-,,
39,40,경기도 하남시 망월동,1119-1,1119,1,르보아파크Ⅱ,전세,18.16,202409,13,"10,200",0,5,2019.0,미사강변남로 91,202409~202509,갱신,사용,"12,500",0
40,41,경기도 수원시 팔달구 매산로2가,9월 7일,9,7,(9-7),전세,18.15,202409,13,"5,500",0,5,2004.0,고화로9번길 24,202409~202609,신규,-,,
41,42,부산광역시 사상구 주례동,1162-211,1162,211,동화마을 2,전세,20.56,202409,13,"7,000",0,2,2018.0,가야대로 272,202410~202610,신규,-,,
