NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,광주광역시 광산구 흑석동,524,524,0,수완이지더원,59.8832,202409,14,"34,000",-,13,개인,개인,2012,풍영로101번길 22,-,중개거래,광주 광산구,-
2,부산광역시 북구 화명동,2264,2264,0,롯데낙천대,59.807,202409,14,"32,700",-,3,개인,개인,2002,화명신도시로 156,20240914,중개거래,부산 북구,-
3,대구광역시 북구 대현동,535,535,0,센트럴파크대현,51.42,202409,14,"24,600",-,10,개인,개인,2016,대현남로6길 20,20240914,중개거래,대구 북구,-
4,광주광역시 광산구 우산동,1572-6,1572,6,어등하이빌,59.67,202409,14,"12,400",-,11,개인,개인,1992,사암로215번길 16,-,중개거래,광주 광산구,-
5,경기도 용인시 수지구 상현동,1,1,0,성복역리버파크,59.76,202409,14,"60,000",-,8,개인,개인,1998,포은대로 298,20240914,중개거래,경기 용인시 수지구,-
6,경기도 안성시 일죽면 송천리,610,610,0,일죽아이시타운,80.249,202409,13,"15,000",-,6,개인,개인,2002,서동대로 7416-10,-,중개거래,경기 안성시,-
7,경기도 수원시 권선구 호매실동,1408,1408,0,호매실스타힐스,59.98,202409,13,"40,000",-,5,개인,개인,2018,호매실로 103,-,중개거래,경기 수원시 권선구,-
8,세종특별자치시  종촌동,640,640,0,가재마을4단지(센트레빌),74.98,202409,13,"36,800",-,1,개인,개인,2015,도움3로 160,-,중개거래,세종,-
9,경기도 안산시 상록구 사동,1511,1511,0,안산고잔9차푸르지오,101.9284,202409,13,"61,000",-,15,개인,개인,2007,해양로 16,-,중개거래,경기 안산시 단원구,-
10,경기도 평택시 고덕면 궁리,523,523,0,고덕하늘채시그니처,59.949,202409,13,"31,000",-,13,개인,개인,2021,효덕새싹길 55,-,중개거래,경기 평택시,-
11,경기도 화성시 남양읍 남양리,2249,2249,0,시티프라디움2차아파트,59.9888,202409,13,"31,750",-,1,개인,개인,2018,남양천로 45,-,중개거래,경기 화성시,-
12,경기도 수원시 영통구 하동,1001,1001,0,광교마을40단지,84.81,202409,13,"75,000",-,4,개인,개인,2013,광교마을로 156,-,중개거래,경기 수원시 영통구,-
13,경기도 고양시 일산서구 일산동,1050,1050,0,후곡마을(동부),51.06,202409,13,"23,500",-,1,개인,개인,1994,일산로 612,-,중개거래,경기 고양시 일산서구,-
14,경기도 안산시 단원구 고잔동,720,720,0,호수공원(대림1),87.152,202409,13,"63,000",-,7,개인,개인,2001,광덕서로 19,-,중개거래,경기 안산시 단원구,-
